trade_date,open_price,close_price
2017-04-26,49.909401,52.720299
2017-04-27,52.805698,62.167702
2017-04-28,62.226898,70.159203
2017-04-29,71.389603,68.3769
2017-04-30,68.540604,79.021202
2017-05-01,79.321602,76.296997
2017-05-02,76.653397,77.263802
2017-05-03,77.253998,79.718201
2017-05-04,79.720398,96.9814
2017-05-05,96.734703,94.398499
2017-05-06,94.912102,97.813499
2017-05-07,97.8694,94.007301
2017-05-08,93.747002,91.420403
2017-05-09,91.227997,91.162903
2017-05-10,91.1511,89.524902
2017-05-11,89.770699,89.8797
2017-05-12,89.428596,88.655403
2017-05-13,88.694397,90.835403
2017-05-14,90.871597,90.786499
2017-05-15,90.784103,92.414902
2017-05-16,92.387703,89.438004
2017-05-17,89.250298,89.860397
2017-05-18,89.840401,96.906303
2017-05-19,97.052803,129.526993
2017-05-20,129.222,126.521004
2017-05-21,127.537003,157.936996
2017-05-22,158.173004,174.261002
2017-05-23,170.817993,181.951996
2017-05-24,182.649002,190.046005
2017-05-25,189.848999,174.445999
2017-05-26,175.216995,160.403
2017-05-27,159.817001,157.757996
2017-05-28,158.817001,170.511002
2017-05-29,170.134995,194.908997
2017-05-30,195.613007,231.910995
2017-05-31,231.578003,230.669006
2017-06-01,230.886002,222.238998
2017-06-02,222.285995,223.774994
2017-06-03,223.464005,224.376007
2017-06-04,224.117004,245.332001
2017-06-05,245.261993,248.464005
2017-06-06,248.598999,264.466003
2017-06-07,264.26001,258.071014
2017-06-08,257.990997,261.665985
2017-06-09,261.748993,281.737
2017-06-10,282.014008,337.667999
2017-06-11,338.794006,340.609009
2017-06-12,341.164001,401.48999
2017-06-13,395.686005,397.536987
2017-06-14,397.588989,359.053009
2017-06-15,358.506989,361.933014
2017-06-16,361.182007,370.22699
2017-06-17,369.882996,379.414001
2017-06-18,379.519012,371.458008
2017-06-19,371.864014,370.056
2017-06-20,370.326996,359.005005
2017-06-21,359.540009,336.872009
2017-06-22,337.733002,336.371002
2017-06-23,336.484985,341.739014
2017-06-24,341.625,323.696014
2017-06-25,323.466003,303.247986
2017-06-26,302.954987,272.691986
2017-06-27,272.691986,293.088013
2017-06-28,293.041992,327.927002
2017-06-29,328.365997,302.882996
2017-06-30,303.152008,294.915985
2017-07-01,293.352997,274.601013
2017-07-02,275.122986,287.987
2017-07-03,288.414001,282.89801
2017-07-04,282.19101,273.303009
2017-07-05,273.098999,268.773987
2017-07-06,268.858002,270.549011
2017-07-07,270.350006,245.990997
2017-07-08,245.889999,251.697006
2017-07-09,251.822006,242.136993
2017-07-10,243.011002,215.356995
2017-07-11,211.524994,197.404007
2017-07-12,197.151993,230.774002
2017-07-13,231.811996,209.733002
2017-07-14,209.529007,199.662003
2017-07-15,199.709,170.654999
2017-07-16,169.574005,157.363007
2017-07-17,159.990997,193.423996
2017-07-18,195.026993,234.391006
2017-07-19,234.940994,199.703003
2017-07-20,205.421997,227.264999
2017-07-21,226.061005,218.304993
2017-07-22,217.860001,229.475998
2017-07-23,229.123001,225.951004
2017-07-24,226.285004,224.710999
2017-07-25,224.373001,206.710007
2017-07-26,207.085999,203.953003
2017-07-27,204.856003,204.317993
2017-07-28,204.324997,193.123001
2017-07-29,193.341003,205.789001
2017-07-30,206.735992,197.977997
2017-07-31,197.404999,203.871002
2017-08-01,204.688004,226.768997
2017-08-02,227.005997,219.951996
2017-08-03,220.179993,225.341995
2017-08-04,225.307999,223.072998
2017-08-05,222.852005,256.506989
2017-08-06,256.419006,261.566986
2017-08-07,261.237,269.179993
2017-08-08,269.100006,296.769012
